level,trim_-2.0,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_2.0,trim_3.0,trim_4.0,trim_5.0,trim_6.0,trim_7.0,trim_8.0
5.16,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08615999999999999,-0.10815999999999999,-0.12932,-0.15131999999999998,-0.17248
5.17,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08617,-0.10817,-0.12934,-0.15134,-0.17251
5.18,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08617999999999999,-0.10818,-0.12936,-0.15136,-0.17254
5.19,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08618999999999999,-0.10819,-0.12938,-0.15138,-0.17256999999999997
5.2,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.0862,-0.1082,-0.12940000000000002,-0.1514,-0.17259999999999998
5.21,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08621,-0.10821,-0.12942,-0.15142,-0.17262999999999998
5.22,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08621999999999999,-0.10822,-0.12944,-0.15144,-0.17265999999999998
5.23,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08622999999999999,-0.10822999999999999,-0.12946,-0.15145999999999998,-0.17268999999999998
5.24,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08624,-0.10824,-0.12948,-0.15148,-0.17271999999999998
5.25,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08625,-0.10825,-0.1295,-0.1515,-0.17275
5.26,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08625999999999999,-0.10826,-0.12952,-0.15152,-0.17278
5.2700000000000005,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08627,-0.10827,-0.12954000000000002,-0.15154,-0.17281
5.28,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08628,-0.10828,-0.12956,-0.15156,-0.17284
5.29,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08628999999999999,-0.10829,-0.12958,-0.15158,-0.17287
5.3,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08629999999999999,-0.1083,-0.1296,-0.15159999999999998,-0.1729
5.3100000000000005,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08631,-0.10831,-0.12962,-0.15162,-0.17293
5.32,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08632,-0.10832,-0.12964,-0.15164,-0.17295999999999997
5.33,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08632999999999999,-0.10833,-0.12966,-0.15166,-0.17298999999999998
5.34,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08634,-0.10834,-0.12968000000000002,-0.15168,-0.17301999999999998
5.3500000000000005,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08635,-0.10835,-0.1297,-0.1517,-0.17304999999999998
5.36,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08635999999999999,-0.10836,-0.12972,-0.15172,-0.17307999999999998
5.37,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08636999999999999,-0.10837,-0.12974,-0.15173999999999999,-0.17310999999999999
5.38,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08638,-0.10838,-0.12976000000000001,-0.15176,-0.17314
5.39,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08639,-0.10839,-0.12978,-0.15178,-0.17317
5.4,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08639999999999999,-0.1084,-0.1298,-0.1518,-0.1732
5.41,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08640999999999999,-0.10840999999999999,-0.12982,-0.15181999999999998,-0.17323
5.42,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08642,-0.10842,-0.12984,-0.15184,-0.17326
5.43,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08642999999999999,-0.10843,-0.12986,-0.15186,-0.17329
5.44,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08643999999999999,-0.10844,-0.12988,-0.15188,-0.17331999999999997
5.45,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08645,-0.10845,-0.12990000000000002,-0.1519,-0.17334999999999998
5.46,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08646,-0.10846,-0.12992,-0.15192,-0.17337999999999998
5.47,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08646999999999999,-0.10847,-0.12994,-0.15194,-0.17340999999999998
5.48,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08647999999999999,-0.10848,-0.12996,-0.15195999999999998,-0.17343999999999998
5.49,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08649,-0.10849,-0.12998,-0.15198,-0.17346999999999999
5.5,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.0865,-0.1085,-0.13,-0.152,-0.1735
5.51,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08650999999999999,-0.10851,-0.13002,-0.15202,-0.17353
5.5200000000000005,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08652,-0.10852,-0.13004000000000002,-0.15204,-0.17356
5.53,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08653,-0.10853,-0.13006,-0.15206,-0.17359
5.54,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08653999999999999,-0.10854,-0.13008,-0.15208,-0.17362
5.55,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08654999999999999,-0.10855,-0.1301,-0.15209999999999999,-0.17365
5.5600000000000005,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08656,-0.10856,-0.13012,-0.15212,-0.17368
5.57,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08657,-0.10857,-0.13014,-0.15214,-0.17370999999999998
5.58,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08657999999999999,-0.10858,-0.13016,-0.15216,-0.17373999999999998
5.59,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08659,-0.10859,-0.13018000000000002,-0.15218,-0.17376999999999998
5.6000000000000005,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.0866,-0.1086,-0.1302,-0.1522,-0.17379999999999998
5.61,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08660999999999999,-0.10861,-0.13022,-0.15222,-0.17382999999999998
5.62,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08661999999999999,-0.10862,-0.13024,-0.15224,-0.17386
5.63,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08663,-0.10863,-0.13026000000000001,-0.15226,-0.17389
5.64,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08664,-0.10864,-0.13028,-0.15228,-0.17392
5.65,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08664999999999999,-0.10865,-0.1303,-0.1523,-0.17395
5.66,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08665999999999999,-0.10865999999999999,-0.13032,-0.15231999999999998,-0.17398
5.67,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08667,-0.10867,-0.13034,-0.15234,-0.17401
5.68,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08668,-0.10868,-0.13036,-0.15236,-0.17404
5.69,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08668999999999999,-0.10869,-0.13038,-0.15238,-0.17406999999999997
5.7,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.0867,-0.1087,-0.13040000000000002,-0.1524,-0.17409999999999998
5.71,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08671,-0.10871,-0.13042,-0.15242,-0.17412999999999998
5.72,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08671999999999999,-0.10872,-0.13044,-0.15244,-0.17415999999999998
5.73,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08672999999999999,-0.10873,-0.13046,-0.15245999999999998,-0.17418999999999998
5.74,0.043,0.022,0.011,0.0,-0.011,-0.022,-0.043,-0.065,-0.08674,-0.10874,-0.13048,-0.15248,-0.17421999999999999
