level,trim_-2.0,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_2.0,trim_3.0,trim_4.0,trim_5.0,trim_6.0,trim_7.0,trim_8.0
0.0,0.056,0.025,0.012,0.0,0.0,0.0,0.004,0.01,0.016,0.022,0.029,0.036,0.044
0.01,0.0555,0.025,0.012,0.0,-0.004,-0.005,-0.0014999999999999996,0.004,0.0105,0.0165,0.0235,0.0305,0.038
0.02,0.055,0.025,0.012,0.0,-0.008,-0.01,-0.007,-0.002,0.005,0.011,0.018,0.025,0.032
0.03,0.0535,0.0245,0.012,0.0,-0.009000000000000001,-0.013000000000000001,-0.0115,-0.0065,0.0,0.006,0.013,0.02,0.027
0.04,0.052,0.024,0.012,0.0,-0.01,-0.016,-0.016,-0.011,-0.005,0.001,0.008,0.015,0.022
0.05,0.0515,0.024,0.0115,0.0,-0.01,-0.017,-0.019,-0.015,-0.009500000000000001,-0.0035000000000000005,0.003,0.0095,0.0165
0.06,0.051,0.024,0.011,0.0,-0.01,-0.018,-0.022,-0.019,-0.014,-0.008,-0.002,0.004,0.011
0.07,0.0505,0.0235,0.011,0.0,-0.01,-0.0185,-0.0245,-0.0225,-0.0185,-0.0125,-0.0065,-0.0005000000000000004,0.0065
0.08,0.05,0.023,0.011,0.0,-0.01,-0.019,-0.027,-0.026,-0.023,-0.017,-0.011,-0.005,0.002
0.09,0.0495,0.023,0.011,0.0,-0.01,-0.019,-0.028999999999999998,-0.028999999999999998,-0.0265,-0.0215,-0.0155,-0.009500000000000001,-0.003
0.1,0.049,0.023,0.011,0.0,-0.01,-0.019,-0.031,-0.032,-0.03,-0.026,-0.02,-0.014,-0.008
0.11,0.0488,0.0229,0.011,0.0,-0.01,-0.0191,-0.0316,-0.033800000000000004,-0.0326,-0.0292,-0.0236,-0.0179,-0.0121
0.12,0.048600000000000004,0.0228,0.011,0.0,-0.01,-0.0192,-0.0322,-0.0356,-0.0352,-0.0324,-0.027200000000000002,-0.0218,-0.0162
0.13,0.0484,0.022699999999999998,0.011,0.0,-0.01,-0.0193,-0.032799999999999996,-0.0374,-0.0378,-0.0356,-0.0308,-0.0257,-0.020300000000000002
0.14,0.0482,0.0226,0.011,0.0,-0.01,-0.0194,-0.0334,-0.0392,-0.0404,-0.0388,-0.0344,-0.0296,-0.0244
0.15,0.048,0.0225,0.011,0.0,-0.01,-0.0195,-0.034,-0.041,-0.043,-0.041999999999999996,-0.038000000000000006,-0.0335,-0.0285
0.16,0.0478,0.0224,0.011,0.0,-0.01,-0.0196,-0.0346,-0.042800000000000005,-0.0456,-0.045200000000000004,-0.0416,-0.037399999999999996,-0.032600000000000004
0.17,0.0476,0.0223,0.011,0.0,-0.01,-0.0197,-0.035199999999999995,-0.0446,-0.0482,-0.0484,-0.045200000000000004,-0.041299999999999996,-0.0367
0.18,0.0474,0.022199999999999998,0.011,0.0,-0.01,-0.0198,-0.0358,-0.046400000000000004,-0.0508,-0.0516,-0.0488,-0.0452,-0.0408
0.19,0.0472,0.022099999999999998,0.011,0.0,-0.01,-0.0199,-0.0364,-0.04820000000000001,-0.0534,-0.0548,-0.0524,-0.0491,-0.0449
0.2,0.047,0.022,0.011,0.0,-0.01,-0.02,-0.037,-0.05,-0.056,-0.058,-0.056,-0.053,-0.049
0.21,0.0469,0.022,0.011,0.0,-0.01,-0.02,-0.0372,-0.0505,-0.0572,-0.0599,-0.0585,-0.0559,-0.0521
